,El-lab,El-modarag,Redmi,youssef,Farouk,target
231,-100,-68,-74,-70,-100,7
232,-100,-71,-100,-74,-100,7
233,-100,-100,-100,-71,-100,7
234,-100,-100,-74,-70,-100,7
235,-100,-76,-76,-76,-100,7
236,-100,-68,-72,-71,-100,7
237,-100,-75,-70,-68,-100,7
238,-100,-100,-77,-68,-100,7
239,-100,-68,-74,-74,-100,7
240,-100,-70,-72,-66,-85,7
241,-100,-66,-73,-74,-86,7
242,-100,-70,-71,-77,-100,7
243,-100,-100,-58,-100,-100,8
244,-100,-100,-45,-100,-100,8
245,-59,-100,-44,-100,-100,8
246,-100,-100,-52,-100,-100,8
247,-100,-100,-49,-100,-100,8
248,-100,-82,-48,-100,-100,8
249,-100,-100,-55,-100,-100,8
250,-100,-100,-55,-100,-68,8
251,-100,-100,-45,-100,-100,8
252,-100,-100,-54,-100,-100,8
253,-100,-100,-47,-100,-100,8
254,-100,-100,-62,-100,-100,8
255,-100,-100,-63,-100,-100,8
256,-100,-100,-67,-100,-100,8
257,-100,-100,-68,-100,-70,8
258,-100,-100,-63,-100,-100,8
259,-100,-75,-46,-100,-100,8
260,-100,-100,-50,-100,-100,8
261,-100,-100,-62,-82,-100,8
262,-100,-74,-43,-100,-100,8
263,-100,-72,-54,-100,-100,8
264,-100,-73,-44,-100,-69,8
265,-100,-100,-56,-100,-100,8
266,-100,-70,-53,-100,-100,8
267,-77,-100,-54,-100,-100,8
268,-100,-100,-49,-100,-63,8
269,-100,-100,-56,-100,-100,8
270,-71,-100,-44,-100,-65,8
271,-80,-100,-44,-100,-100,8
272,-73,-100,-46,-100,-71,8
273,-100,-100,-69,-100,-100,8
274,-75,-100,-36,-100,-73,8
275,-100,-100,-37,-100,-67,8
276,-100,-100,-80,-100,-100,8
277,-100,-100,-36,-100,-72,8
278,-100,-100,-39,-100,-71,8
279,-100,-100,-45,-100,-66,8
280,-78,-100,-43,-100,-66,8
281,-100,-100,-47,-100,-64,8
282,-100,-100,-42,-100,-70,8
283,-67,-100,-48,-100,-65,8
284,-100,-100,-78,-100,-63,8
285,-76,-100,-50,-100,-65,8
286,-100,-100,-39,-100,-69,8
287,-100,-100,-72,-100,-100,8
288,-76,-100,-52,-100,-61,8
289,-83,-80,-51,-100,-65,8
290,-100,-72,-41,-100,-100,8
291,-100,-100,-40,-100,-100,8
292,-100,-100,-48,-100,-100,8
293,-100,-100,-44,-100,-70,8
294,-100,-100,-46,-100,-100,8
295,-100,-100,-78,-100,-67,8
296,-100,-100,-42,-100,-100,8
297,-100,-100,-70,-100,-100,8
298,-100,-100,-74,-100,-72,8
299,-100,-72,-42,-100,-100,8
300,-100,-100,-47,-100,-100,8
301,-100,-100,-74,-100,-100,8
302,-100,-74,-49,-100,-66,8
303,-100,-100,-77,-100,-100,8
304,-100,-100,-44,-90,-100,8
305,-100,-100,-42,-100,-77,8
306,-100,-100,-39,-100,-100,8
307,-100,-100,-72,-100,-100,8
308,-79,-100,-51,-100,-100,8
309,-100,-76,-42,-100,-100,8
310,-100,-100,-46,-100,-100,8
311,-100,-100,-46,-100,-73,8
312,-100,-100,-69,-100,-72,8
313,-100,-100,-72,-100,-68,8
314,-100,-100,-52,-100,-100,8
315,-100,-72,-37,-100,-64,8
316,-100,-71,-39,-100,-100,8
317,-100,-100,-36,-100,-100,8
318,-71,-100,-71,-100,-100,8
319,-100,-100,-54,-100,-100,8
320,-100,-100,-47,-100,-62,8
321,-100,-100,-50,-100,-65,8
322,-70,-100,-52,-100,-64,8
323,-68,-100,-51,-100,-100,8
324,-100,-100,-78,-100,-100,8
325,-74,-100,-100,-100,-65,8
326,-69,-100,-78,-100,-70,9
327,-100,-100,-54,-100,-64,9
328,-100,-100,-62,-100,-65,9
329,-62,-100,-60,-100,-100,9
330,-74,-100,-68,-100,-100,9
331,-100,-100,-62,-100,-67,9
332,-70,-100,-61,-100,-60,9
333,-67,-100,-63,-100,-60,9
334,-100,-100,-63,-100,-100,9
335,-100,-100,-65,-100,-65,9
336,-72,-100,-59,-100,-68,9
337,-100,-100,-55,-100,-66,9
338,-100,-100,-58,-100,-100,9
339,-100,-100,-52,-100,-100,9
340,-77,-100,-61,-100,-59,9
341,-100,-100,-64,-100,-65,9
342,-70,-100,-65,-100,-52,9
343,-100,-100,-60,-100,-64,9
344,-100,-100,-65,-100,-63,9
345,-100,-100,-66,-100,-65,9
346,-100,-100,-65,-100,-58,9
347,-71,-100,-56,-100,-59,9
348,-72,-100,-64,-100,-73,9
349,-74,-100,-59,-100,-67,9
350,-100,-100,-53,-100,-59,9
351,-100,-100,-60,-100,-69,9
352,-75,-100,-59,-100,-63,9
353,-100,-100,-54,-100,-65,9
354,-100,-100,-63,-100,-64,9
355,-100,-100,-52,-100,-70,9
356,-100,-100,-63,-100,-100,9
357,-72,-100,-60,-100,-65,9
358,-100,-100,-62,-100,-59,9
359,-100,-100,-65,-100,-65,9
360,-71,-100,-63,-100,-58,9
361,-75,-100,-66,-100,-68,9
362,-100,-100,-58,-100,-67,9
363,-100,-100,-64,-100,-100,9
364,-100,-100,-72,-100,-74,9
365,-70,-100,-56,-100,-62,9
366,-70,-100,-54,-100,-59,9
367,-100,-100,-62,-100,-69,9
368,-100,-100,-67,-100,-60,9
369,-100,-100,-65,-100,-72,9
370,-100,-100,-62,-100,-60,9
371,-100,-100,-66,-100,-55,9
372,-100,-100,-68,-100,-59,9
373,-100,-100,-70,-100,-61,9
374,-100,-100,-64,-100,-61,9
375,-73,-100,-100,-100,-66,9
376,-73,-100,-66,-100,-61,9
377,-69,-100,-53,-100,-64,9
378,-72,-100,-65,-100,-68,9
379,-100,-100,-67,-100,-58,9
380,-100,-100,-61,-100,-69,9
381,-69,-100,-58,-100,-62,9
382,-71,-100,-63,-100,-57,9
383,-69,-100,-67,-100,-73,9
384,-100,-100,-61,-100,-62,9
385,-100,-100,-58,-100,-69,9
386,-68,-100,-62,-100,-100,9
387,-64,-100,-54,-100,-58,9
388,-70,-100,-50,-100,-61,9
389,-77,-79,-53,-100,-70,9
390,-100,-100,-69,-100,-60,9
391,-100,-100,-71,-100,-100,9
392,-73,-100,-66,-100,-61,9
393,-77,-100,-66,-100,-72,9
394,-100,-100,-55,-100,-59,9
395,-72,-100,-60,-100,-64,9
396,-100,-100,-54,-100,-57,9
397,-100,-100,-51,-100,-100,9
398,-100,-100,-54,-100,-60,9
399,-72,-100,-53,-100,-63,9
400,-72,-100,-61,-100,-68,9
401,-100,-100,-68,-100,-61,9
402,-100,-100,-66,-100,-56,10
403,-100,-100,-67,-100,-56,10
404,-100,-100,-68,-100,-51,10
405,-100,-100,-66,-100,-57,10
406,-100,-100,-100,-100,-45,10
407,-100,-100,-100,-100,-58,10
408,-100,-100,-59,-100,-57,10
409,-100,-100,-66,-100,-56,10
410,-100,-100,-55,-100,-56,10
411,-100,-100,-67,-100,-51,10
412,-100,-100,-77,-100,-49,10
413,-100,-100,-80,-100,-50,10
414,-100,-100,-62,-100,-56,10
415,-100,-100,-71,-100,-51,10
416,-100,-100,-67,-100,-49,10
417,-78,-100,-63,-100,-50,10
418,-100,-100,-100,-100,-100,10
419,-100,-100,-60,-100,-44,10
420,-100,-100,-67,-100,-51,10
421,-100,-100,-59,-100,-47,10
422,-100,-100,-68,-100,-50,10
423,-100,-100,-100,-100,-56,10
424,-100,-100,-65,-100,-62,10
425,-100,-100,-64,-100,-62,10
426,-100,-100,-66,-100,-60,10
427,-100,-100,-58,-100,-58,10
428,-100,-100,-100,-100,-100,10
429,-100,-100,-100,-100,-52,10
430,-100,-100,-100,-100,-48,10
431,-100,-100,-100,-100,-51,10
432,-100,-100,-67,-100,-46,10
433,-78,-100,-63,-100,-50,10
434,-100,-100,-63,-100,-54,10
435,-84,-100,-100,-100,-57,10
436,-100,-100,-70,-100,-58,10
437,-100,-100,-68,-100,-66,10
438,-100,-100,-62,-100,-61,10
439,-100,-100,-100,-100,-73,10
440,-100,-100,-64,-100,-58,10
441,-75,-100,-58,-100,-57,10
442,-100,-100,-67,-100,-52,10
443,-100,-100,-68,-100,-49,10
444,-100,-100,-64,-100,-46,10
445,-100,-100,-67,-100,-50,10
446,-100,-100,-70,-100,-46,10
447,-100,-72,-68,-100,-51,10
448,-76,-100,-66,-100,-49,10
449,-100,-100,-66,-100,-48,10
450,-100,-100,-68,-100,-100,10
451,-100,-100,-65,-100,-55,10
452,-100,-100,-100,-100,-54,10
453,-100,-100,-100,-100,-55,10
454,-100,-100,-60,-100,-65,10
455,-100,-100,-71,-100,-57,10
456,-100,-100,-66,-100,-47,10
457,-100,-100,-63,-100,-52,10
458,-100,-100,-100,-100,-60,10
459,-100,-100,-100,-100,-55,10
460,-100,-100,-70,-100,-58,10
461,-100,-100,-54,-100,-49,10
462,-100,-100,-65,-100,-47,10
463,-100,-100,-67,-100,-51,10
464,-100,-100,-62,-100,-45,10
465,-79,-100,-100,-100,-43,10
466,-100,-100,-67,-100,-52,10
467,-100,-100,-65,-100,-59,10
468,-100,-100,-63,-100,-69,10
469,-100,-100,-72,-100,-58,10
470,-100,-100,-71,-100,-65,10
471,-100,-100,-68,-100,-57,10
472,-100,-100,-100,-100,-63,10
473,-100,-100,-68,-100,-66,10
474,-100,-100,-100,-100,-59,10
475,-100,-100,-68,-100,-64,10
476,-100,-100,-81,-100,-60,10
477,-100,-100,-68,-100,-59,10
478,-49,-100,-100,-100,-100,11
479,-48,-100,-100,-100,-100,11
480,-48,-100,-100,-100,-100,11
481,-57,-100,-74,-100,-100,11
482,-47,-100,-100,-100,-100,11
483,-47,-100,-100,-100,-100,11
484,-67,-100,-72,-100,-100,11
485,-45,-100,-100,-100,-100,11
486,-48,-100,-100,-100,-100,11
487,-47,-100,-100,-100,-100,11
488,-49,-100,-100,-100,-100,11
489,-47,-100,-72,-100,-100,11
490,-49,-100,-100,-100,-100,11
491,-52,-100,-100,-100,-100,11
492,-63,-100,-100,-100,-100,11
493,-50,-100,-100,-100,-100,11
494,-100,-100,-100,-100,-100,11
495,-49,-100,-100,-100,-100,11
