WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-70,-100,-68,-71,-66,-44,-100,-100,-57,-72,-100,-100,-100,-100,-91,-63,-100,-94,-74,5
-68,-71,-68,-75,-100,-64,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,8
-55,-100,-40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,10
-49,-91,-48,-61,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,9
-73,-75,-75,-100,-69,-73,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-52,-100,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,10
-67,-90,-77,-100,-100,-39,-100,-100,-100,-77,-100,-100,-100,-100,-100,-64,-100,-100,-100,5
-54,-88,-53,-65,-100,-54,-67,-66,-100,-88,-66,-100,-100,-79,-100,-80,-100,-100,-100,5
-76,-83,-81,-85,-82,-75,-84,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-50,-73,-57,-100,-100,-50,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-55,-100,-52,-100,-100,-100,-100,-100,-100,-100,-49,-100,-71,-100,-100,-100,-100,-100,-100,10
-78,-94,-81,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,6
-56,-100,-48,-100,-100,-67,-46,-45,-100,-100,-46,-100,-74,-53,-100,-100,-100,-100,-100,11
-46,-100,-50,-100,-100,-55,-100,-59,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,9
-55,-84,-63,-100,-63,-42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,5
-55,-100,-51,-35,-100,-100,-40,-35,-100,-100,-36,-100,-100,-54,-100,-100,-100,-100,-100,11
-60,-100,-52,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,11
-72,-86,-67,-77,-67,-45,-69,-70,-58,-100,-68,-100,-100,-82,-100,-72,-100,-100,-100,5
-61,-100,-55,-69,-68,-50,-69,-100,-69,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,7
-73,-70,-76,-100,-69,-79,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-54,-100,-53,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-77,-100,-100,-100,-100,-100,9
-61,-100,-48,-49,-100,-69,-100,-100,-100,-100,-100,-100,-100,-64,-58,-100,-100,-100,-100,11
-62,-100,-48,-100,-100,-100,-65,-100,-100,-100,-68,-66,-100,-100,-100,-100,-100,-100,-100,13
-72,-69,-71,-100,-70,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-75,-70,-79,-100,-71,-77,-100,-89,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,8
-52,-90,-48,-100,-100,-49,-64,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,9
-42,-100,-46,-100,-100,-65,-100,-100,-100,-100,-52,-73,-100,-73,-100,-100,-100,-100,-100,9
-57,-100,-56,-46,-100,-100,-100,-45,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-100,11
