,STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
24,-49,-89,0,-84,0,0,5
25,-49,-79,-81,-82,-86,-82,5
26,-49,-80,-81,-82,-86,-82,5
27,-46,-90,-81,-82,-86,-82,5
28,-53,-86,-81,-82,-86,-82,5
29,-53,-87,-81,-82,-86,-82,5
30,-53,-90,-81,-82,-86,-82,5
31,-53,-88,-81,-82,-86,-82,5
32,-53,-87,-81,-82,-86,-82,5
33,-51,-81,-81,-82,-86,-82,5
34,-45,-89,-81,-82,-86,-82,5
35,-53,-87,-81,-82,-86,-82,5
36,-53,-88,-81,-82,-86,-82,5
37,-53,-85,-81,-82,-86,-82,5
38,-53,-86,-81,-82,-86,-82,5
39,-44,-84,-81,-82,-83,-82,5
40,-53,-85,-81,-82,-83,-85,5
41,-45,-86,-81,-82,-83,-85,5
42,-45,-86,-81,-82,-83,-85,5
43,-45,-89,-81,-82,-83,-85,5
44,-45,-87,-81,-82,-83,-85,5
45,-50,-88,-81,-82,-83,-85,5
46,-48,-85,-81,-82,-83,-85,5
47,-54,-92,-81,-82,-90,-85,5
48,-54,-84,-81,-82,-90,-86,5
49,-54,-90,-81,-82,-90,-86,5
50,-46,-84,-82,-82,-90,-82,5
51,-45,-82,-87,-84,-90,-82,5
52,-48,-91,-87,-84,-90,-82,5
53,-48,-82,-87,-89,-90,-82,5
54,-48,-80,-87,-89,-90,-82,5
55,-48,-84,-87,-89,-90,-82,5
56,-53,-85,-87,-89,-90,-82,5
57,-56,-84,-87,-89,-90,-82,5
58,-57,-83,-87,-89,-90,-82,5
59,-57,-82,-87,-89,-87,-83,5
60,-57,-82,-83,-89,-87,-87,5
61,-57,-88,-83,-89,-87,-87,5
62,-51,-90,-83,-89,-87,-87,5
63,-51,-85,-83,-89,-87,-87,5
64,-52,-88,-83,-89,-87,-87,5
65,-52,-83,-83,-89,-87,-87,5
66,-52,-82,-83,-89,-87,-87,5
67,-50,-83,-89,-89,-87,-87,5
68,-56,-85,-89,-89,-87,-87,5
69,-52,-85,-89,-89,-87,-87,5
70,0,-91,0,0,0,0,5
71,-47,-86,0,0,0,0,5
72,-57,-89,0,0,0,0,5
73,-44,-89,0,0,0,0,5
74,-44,-82,0,0,0,0,5
75,-44,-79,-85,0,0,0,5
76,-44,-81,-85,0,-85,0,5
77,-52,-85,-85,0,-85,0,5
78,-52,-87,-85,0,-85,0,5
79,-51,-85,-85,-89,-85,-92,5
80,-51,-84,-85,-89,-85,-92,5
81,-51,-85,-85,-89,-85,-92,5
82,-51,-82,-85,-89,-85,-92,5
83,-52,-90,-85,-89,-85,-92,5
84,-52,-84,-85,-89,-85,-92,5
85,-45,-88,-85,-89,-85,-92,5
86,-45,-88,-85,-89,-85,-92,5
87,-45,-87,-85,-89,-85,-86,5
88,-44,-89,-85,-89,-85,-86,5
89,-47,-89,-85,-89,-85,-86,5
90,-47,-85,-85,-89,-85,-86,5
91,-47,-87,-85,-85,-83,-86,5
92,-47,-84,-85,-85,-83,-86,5
93,-47,-90,-85,-85,-83,-86,5
94,-52,-88,-85,-85,-83,-86,5
95,-54,-89,-84,-85,-83,-86,5
96,-54,-88,-84,-85,-83,-86,5
97,-54,-93,-87,-84,-86,-84,5
